"1000007","M","0100","0600","M"
"1000024","M","1400","0100","M"
"1000031","M","1600","0900","M"
"1000032","M","0100","0700","M"
"1000034","M","1800","9900","M"
"1000039","M","1600","0800","M"
"1000055","M","0400","0100","M"
"1000056","M","0400","0200","M"
"1000070","M","0100","0600","M"
"1000076","M","1400","0100","M"
"1000093","M","1900","0600","M"
"1000094","M","1900","0700","M"
"1000108","M","0800","0200","M"
"1000124","M","1600","0800","M"
"1000131","M","0600","0200","M"
"1000132","M","0600","0200","M"
"1000179","M","1800","0900","M"
"1000201","M","1600","0800","M"
"1000213","M","2800","0600","M"
"1000238","M","1800","9900","M"
"1000247","M","1600","0800","M"
"1000249","M","1600","0800","M"
"1000259","M","0200","9900","M"
"1000273","M","0700","0200","M"
"1000274","M","1100","0200","M"
"1000277","M","1900","0700","M"
"1000281","M","0700","0200","M"
"1000288","M","0700","0200","M"
"1000294","M","0100","0400","M"
"1000299","M","1900","0700","M"
"1000318","M","2300","0400","M"
"1000325","M","0100","0700","M"
"1000343","M","0700","0200","M"
"1000346","M","0400","0400","M"
"1000395","M","1600","0800","M"
"1000406","M","0100","0700","M"
"1000417","M","0600","0200","M"
"1000420","M","0600","0200","M"
"1000439","M","1500","0200","M"
"1000448","M","1800","1000","M"
"1000473","M","1500","9900","M"
"1000474","M","0100","0600","M"
"1000502","M","1400","0900","M"
"1000580","M","1800","9900","M"
"1000628","M","1900","0400","M"
"1000653","M","1900","1100","M"
"1000656","M","0700","0400","M"
"1000676","M","0700","0500","M"
"1000696","M","3000","0800","M"
"1000703","M","0700","0200","M"
"1000815","M","1900","0100","M"
"1000839","M","1400","0900","M"
"1000841","M","1900","0100","M"
"1000846","M","1900","0400","M"
"1000860","M","0700","0500","M"
"1000883","M","1900","0700","M"
"1000898","M","0700","0200","M"
"1000899","M","0700","0100","M"
"1000911","M","4000","0010","M"
"1000934","M","1500","9900","M"
"1000937","M","0100","0400","M"
"1000941","M","1500","0100","M"
"1000953","M","1900","9900","M"
"1000977","M","1700","0800","M"
"1000980","M","1700","0800","M"
"1000981","M","1700","0800","M"
"1000986","M","1400","0900","M"
"1000998","M","1900","9900","M"
"1001087","M","1900","0500","M"
"1001120","M","0700","0200","M"
"1001136","M","1800","0200","M"
"1001146","M","1900","1100","M"
"1001147","M","1900","0100","M"
"1001149","M","0400","0400","M"
"1001158","M","0700","0200","M"
"1001173","M","2300","0400","M"
"1001190","M","0600","0100","M"
"1001199","M","1500","0100","M"
"1001257","M","2800","0500","M"
"1001259","M","1600","0800","M"
"1001277","M","1900","0100","M"
"1001283","M","1900","0600","M"
